Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Predicted Cargo Metric TONS - Linear Regression,Predicted Cargo Metric TONS - RF,Predicted Cargo Metric TONS - GB
200907,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,469.07487664785435,57.07836590399993,398.7886512339919
202001,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Cargo,Freighter,404.8382118519005,159.86972786399986,446.7417731667403
201107,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Passenger,283.1313432948641,173.23160450400013,203.36481206857812
201809,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Passenger,305.4195906007858,221.17967827200027,227.265092369445
200811,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Enplaned,Cargo,Freighter,206.26758287653047,108.54688370400005,397.3256435913324
201401,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Mail,Passenger,-10.795336945585177,2.5053507359999956,47.66547813219922
201608,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Mail,Passenger,168.04641562469124,65.96947022399995,295.3832785991233
200802,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,351.83316471576927,614.5473589920007,422.84149286587353
201110,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,61.00335743382334,0.9589421520000004,-5.200132119277148
200609,Tradewinds Airlines,WI,Tradewinds Airlines,WI,Domestic,US,Deplaned,Cargo,Freighter,469.376522596707,284.08203230399994,422.2815040023119
201007,Air Berlin,AB,Air Berlin,AB,International,Europe,Enplaned,Cargo,Passenger,25.426172162340663,49.44125239199998,185.98742257904766
201109,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,264.47984306133435,52.54814023200003,119.86954334586994
201902,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Cargo,Passenger,428.8711292135097,1018.6872913639995,560.0490179830542
201701,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,350.6668114256156,362.4752754000004,290.11578051675815
201509,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,190.94564240634213,59.68940544000003,83.380689253368
200606,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Mail,Passenger,65.12543889259473,65.403976176,25.940410523029378
201807,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Cargo,Passenger,770.7592890575478,1152.833244887999,584.7975843708821
200712,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Enplaned,Cargo,Freighter,206.87666608000063,105.24281594399987,397.3256435913324
200903,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Passenger,310.9936247658759,128.25242438400005,205.8770451660645
201211,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,428.805349574272,374.76079552799973,425.35372596335986
200902,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Cargo,Passenger,140.51620203480093,84.35332936799998,143.66811145683585
201708,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Cargo,Passenger,190.96815605322172,0.08681450400000008,255.27745625420692
200602,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Mail,Freighter,150.81185119070346,91.61090668800003,72.3361924230323
200709,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,223.87419965795402,257.82773234400037,203.36481206857812
200904,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,-28.528625863356183,2.4244194239999985,-40.06757854247713
201607,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Mail,Passenger,-44.87133729800689,10.094228424,8.570261163237761
200608,US Airways,US,US Airways,US,Domestic,US,Deplaned,Mail,Passenger,-21.512469210976178,134.27580600000007,103.1334862470479
201908,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,274.08673639153585,882.8965791560005,239.6945992219389
201910,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,146.6230470927303,1.0126756080000006,124.32743994179737
201709,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,24.76212450504113,25.05261830399997,75.36108428950479
201702,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Mail,Passenger,-12.647195978358013,17.248502879999986,88.1878842368299
201207,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Cargo,Passenger,223.98934132489535,8.109175031999998,115.94979550343939
201902,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,210.06749593351697,212.88587896799984,207.37546978242815
201003,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,59.64298863930071,112.48556054400012,38.66551347351178
201912,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,348.6134303930635,224.4118050719997,287.70246115738996
201901,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,168.80780888472873,50.038167312000006,107.22777703784493
201909,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Passenger,58.49159299197527,104.72755809600011,60.053560676892275
201201,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Mail,Passenger,497.2049392249953,488.80824602400054,454.05696912981773
201406,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Mail,Passenger,89.84825019238792,55.32391367999991,40.68084257472625
200808,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Passenger,48.944592414526824,15.985685016000012,36.153280376025414
201703,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Express,Passenger,470.12637259721214,40.458729528000006,370.9129344341942
201309,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Mail,Passenger,59.944710323404024,15.816011400000002,26.488180944592866
201706,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,67.86317666633909,0.742742784,159.78337716853196
202009,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Mail,Passenger,86.13837977125195,154.66355654400004,57.94522756318562
201709,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Cargo,Passenger,151.32993384302586,3.351691223999996,130.1982844848971
200705,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,63.495061448019214,1.726097688000001,-5.200132119277148
201101,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Mail,Passenger,-70.12722099913094,3.989262312000004,-3.1135022938366297
201703,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Cargo,Passenger,771.3991340389708,1505.0551011700009,584.7975843708821
200607,US Airways,US,US Airways,US,Domestic,US,Enplaned,Mail,Passenger,-48.113517785913245,128.218776336,100.62125314956153
201504,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,475.1377753296333,290.5018830000005,266.30273011122557
201410,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Mail,Passenger,-69.83194811323392,8.008112951999994,64.44437849082294
200605,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,176.7812617301554,6.682516847999991,85.83972983446445
200805,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,414.98246186135157,677.3840226719992,422.84149286587353
201608,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,84.54668528022876,1.6612782480000003,-6.09838774157755
200808,Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW,International,Asia,Deplaned,Mail,Passenger,29.83537937215533,94.55245279200011,38.66551347351178
201812,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Cargo,Passenger,161.5247593778763,220.98077013599988,156.49197114641686
